ï»¿College_id,College_name,survey_year,faculty_name,department_name,levell,programme_id,programme,discipline_group_id,discipline_group,discipline,type,year,id,total_general_total,total_general_females,total_sc_total,total_sc_females,total_st_total,total_st_females,total_obc_total,total_obc_females,total_total_persons,total_total_females,total_remarks_id,pwd_general_total,pwd_general_females,pwd_sc_total,pwd_sc_females,pwd_st_total,pwd_st_females,pwd_obc_total,pwd_obc_females,pwd_total_persons,pwd_total_females,pwd_remarks_id,muslim_minority_general_total,muslim_minority_general_females,muslim_minority_sc_total,muslim_minority_sc_females,muslim_minority_st_total,muslim_minority_st_females,muslim_minority_obc_total,muslim_minority_obc_females,muslim_minority_total_persons,muslim_minority_total_females,muslim_minority_remarks_id,other_minority_general_total,other_minority_general_females,other_minority_sc_total,other_minority_sc_females,other_minority_st_total,other_minority_st_females,other_minority_obc_total,other_minority_obc_females,other_minority_total_persons,other_minority_total_females,other_minority_remarks_id,passion_interest
11952,Sanskrit College,2015,,,Under Graduate,176,B.A.(Hons)-Bachelor of Arts (Honors),179,Cultural Studies,Linguistics,General,2,4249927,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Literature
* History
* Philosophy
* Sociology
* Psychology
* Political Science
* Economics
* Anthropology
* Geography
* Linguistics
* Languages
* Arts
* Music
* Theatre
* Dance"
9749,"Govt. Navin College, Sargaon",2015,,,Under Graduate,6,B.A.-Bachelor of Arts,178,Arts,Arts,General,2,4249977,3.0,2.0,20.0,11.0,3.0,3.0,34.0,23.0,60,39,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Literature and languages
* History
* Philosophy
* Political science
* Sociology
* Psychology
* Geography
* Economics
* Creative writing
* Film studies
* Theatre
* Music
* Art
* Anthropology"
9749,"Govt. Navin College, Sargaon",2015,,,Under Graduate,12,B.Com.-Bachelor of Commerce,9,Commerce,Commerce,General,2,4249980,2.0,0.0,6.0,1.0,0.0,0.0,9.0,3.0,17,4,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Number crunching and accounting
* Analysis and interpretation of financial data
* Planning and budgeting
* Economics and business environment
* Auditing and taxation
* Business law
* Entrepreneurship and management
* Investment and finance
* Marketing and sales
* Data analysis and visualization"
6062,Smt. M. K. Sanghvi Homeopathic Medical College,2015,,,Under Graduate,56,B.H.M.S.-Bachelor of Homeopathic Medicine and Surgery,71,Homeopathy,all,Self Financing,3,4250034,32.0,19.0,3.0,1.0,5.0,2.0,10.0,6.0,50,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Interest in natural and alternative medicine
* Passion for healing and helping others
* Belief in the principles of homeopathy
* Desire to practice a holistic approach to healthcare
* Fascination with the history and philosophy of homeopathy
* Interest in human anatomy and physiology
* Desire to learn about different homeopathic remedies and their applications
* Ambition to become a licensed homeopathic practitioner
* Interest in research and development in homeopathy
* Passion for promoting health and wellness through homeopathy"
33974,Jaihind Gramonnati Sansthas Jaihind College of Science at Post Salgaon Tal Kudal Dist Sindhudurga,2015,,,Under Graduate,54,B.H.M.-Bachelor of Hotel Management,57,Hotel Management,science,Self Financing,2,4252996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Interest in hospitality and tourism industry
* Passion for creating and managing exceptional guest experiences
* Desire to learn about culinary arts and food and beverage management
* Strong organizational and communication skills
* Ability to work effectively in a fast-paced, demanding environment
* Interest in international cultures and travel
* Entrepreneurial spirit
* Interest in sustainable hospitality practices
* Passion for fine dining and cuisine
* Interest in hotel design and architecture"
22331,"Seth Surajmal Jaipuriya College, Bamneedih",2015,,,Under Graduate,6,B.A.-Bachelor of Arts,178,Arts,Arts,General,2,4253045,5.0,1.0,10.0,2.0,2.0,0.0,40.0,10.0,57,13,,,,,,,,,,0,0,1.0,,,,,,,,,0.0,0.0,1.0,,,,,,,,,0.0,0.0,1.0,"* Literature and Language
* History and Culture
* Philosophy and Ethics
* Political Science and International Relations
* Sociology and Anthropology
* Art and Music
* Psychology
* Communications and Media Studies
* Religious Studies
* Linguistics"
40601,Gopala Gowda Shantaveri Memorial College of Nursing,2015,,,Under Graduate,31,B.Sc.(Nursing)-Bachelor of Science in Nursing,72,Nursing,Nursing,Self Financing,3,4259164,32.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,33,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Compassion and desire to help others
* Strong interest in science, particularly biology and anatomy
* Passion for promoting health and wellness
* Ability to work well in a team environment
* Excellent communication and interpersonal skills
* Desire to make a difference in the lives of patients and their families
* Commitment to lifelong learning and professional development
* Interest in research and evidence-based practice
* Strong work ethic and ability to handle stressful situations effectively
* Empathy and sensitivity towards people from diverse backgrounds
* Desire for a challenging and rewarding career in healthcare"
18290,"Radhikatai Pandav Institute of Architecture, Umred road",2015,,,Under Graduate,9,B.Architecture-Bachelor of Architecture,14,Architecture,Architecture,Self Financing,4,4262214,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,7,4,,,,,,,,,,0,0,1.0,,,,,,,,,0.0,0.0,1.0,,,,,,,,,0.0,0.0,1.0,"* Interest in design and aesthetics
* Creativity and imagination
* Problem-solving abilities
* Strong technical skills
* Appreciation for art and history
* Passion for buildings and architecture
* Desire to create sustainable and innovative structures
* Interest in urban planning and development
* Enthusiasm for working with a team
* Communication and presentation skills"
145,"SARDAR PATEL INSTITUTE OF TECH., PILUDARA, MEHSANA 068",2015,,,Under Graduate,50,B.E.-Bachelor of Engineering,23,Mechanical Engineering,Mechanical Shift 2,Self Financing,3,4262317,75.0,1.0,7.0,0.0,0.0,0.0,21.0,0.0,103,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Mathematics and physics
* Problem-solving
* Design and innovation
* Infrastructure and construction
* Advanced technology
* Making a difference in the world
* Teamwork and collaboration
* Creativity and imagination
* Leadership and management
* Business and entrepreneurship
* Research and development
* Sustainability and environmental engineering"
18348,"New Arts Commerce and Science College, Bachelor Road",2015,,,Under Graduate,6,B.A.-Bachelor of Arts,178,Arts,Arts,General,1,4264009,17.0,7.0,61.0,22.0,35.0,8.0,192.0,82.0,305,119,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* History
* Literature
* Philosophy
* Sociology
* Psychology
* Anthropology
* Economics
* Political Science
* Religious Studies
* Languages
* Arts
* Music"
9520,Salem Kongunadu Arts & Science,2015,,,Under Graduate,6,B.A.-Bachelor of Arts,178,Arts,English,Self Financing,2,4266230,24.0,24.0,10.0,10.0,0.0,0.0,5.0,5.0,39,39,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Literature
* History
* Philosophy
* Languages
* Fine Arts
* Performing Arts
* Music
* Communication
* Sociology
* Anthropology
* Psychology
* International Relations
* Gender and Women's Studies
* Classics
* Comparative Literature
* Religious Studies
* Economics
* Political Science
* Environmental Studies
* Education"
5949,C. U. Shah Commerce College,2015,,,Under Graduate,12,B.Com.-Bachelor of Commerce,9,Commerce,Commerce,General,3,4266688,283.0,159.0,80.0,26.0,18.0,13.0,239.0,91.0,620,289,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,0,,10.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,7.0,,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8.0,,"* Accounting and finance
* Business management
* Marketing
* Economics
* Mathematics
* Data analysis
* Statistics
* Computer applications
* Commerce and trade"
34640,Hi-tech College of Management & Computer Science,2015,,,Under Graduate,30,B.Sc.-Bachelor of Science,171,Science,Science,Self Financing,3,4266899,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,26,14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Passion for understanding the natural world
* Interest in scientific research and discovery
* Desire to apply scientific principles to solve real-world problems
* Appreciation for the role of science in society
* Curiosity about the latest scientific advancements
* Interest in pursuing a career in science or related fields
* Fascination with the interconnectedness of scientific disciplines
* Desire to contribute to the advancement of human knowledge
* Love of experimentation and hands-on learning
* Enthusiasm for exploring new ideas and perspectives"
25528,Sarada College of Hotel Management,2015,,,Under Graduate,55,B.H.M.C.T.-Bachelor of Hotel Management and Catering Technology,57,Hotel Management,management,Self Financing,3,4266910,22.0,2.0,1.0,0.0,0.0,0.0,16.0,1.0,39,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Passion for hospitality and customer service
* Interest in food and beverage operations
* Desire to manage and lead hospitality businesses
* Communication and interpersonal skills
* Problem-solving and decision-making abilities
* Entrepreneurial spirit
* Attention to detail
* Interest in travel and different cultures
* Desire to work in a fast-paced and dynamic environment"
5848,Smt. H. C. Patel (Kandari) Arts and Commerce College,2015,,,Under Graduate,12,B.Com.-Bachelor of Commerce,9,Commerce,Commerce,General,3,4267029,129.0,59.0,10.0,9.0,6.0,1.0,19.0,10.0,164,79,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,34.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Aptitude for numbers and financial analysis
* Interest in business and economics
* Desire to pursue a career in accounting, finance, or banking
* Familiarity with and proficiency in mathematics
* Analytical and problem-solving skills
* Communication and interpersonal abilities
* Eagerness to learn about business practices and industries
* Aspiration to start or join a business venture
* Recognition of the importance of financial literacy
* Potential for professional growth and career advancement"
22408,"Shanti Niketan College, Bilaspur",2015,,,Under Graduate,46,B.C.A.-Bachelor of Computer Applications,183,Computer Application,Computer,Self Financing,2,4267995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Interest in computers and technology
* Aptitude for problem-solving and logical thinking
* Desire to develop programming skills
* Ambition to work in the IT industry
* Enjoyment of working with data and information systems
* Passion for creating and developing software solutions
* Interest in the business applications of technology
* Ambition to become an IT manager or entrepreneur"
35483,"Govt. I Grade College, Manki Tq Honnavar Dist Karwar",2015,,,Under Graduate,6,B.A.-Bachelor of Arts,178,Arts,Arts,General,1,4268644,0.0,0.0,1.0,0.0,0.0,0.0,49.0,27.0,50,27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,"* Literature
* History
* Philosophy
* Languages
* Linguistics
* Psychology
* Sociology
* Political Science
* Economics
* Geography
* Music
* Fine Arts
* Theater
* Dance"
50515,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY,2015,,,Under Graduate,50,B.E.-Bachelor of Engineering,23,Mechanical Engineering,Shift-2 Engg,Self Financing,1,4268962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Interest in Mathematics and Physics
* Fascination with Technology and Engineering Principles
* Desire to Solve Complex Problems
* Ambition to Create Innovative Solutions
* Passion for Building Structures, Machines, and Systems
* Interest in Computer Science and Electronics
* Curiosity about the Interplay between Science and Engineering
* Commitment to Practical Problem-Solving
* Desire to Make a Tangible Impact on the World
* Aspiration to Lead in Engineering Fields"
11491,"DAV Centenary College Kotkhai, Distt Shimla",2015,,,Under Graduate,6,B.A.-Bachelor of Arts,178,Arts,Arts,General,1,4269657,16.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,23,12,,,,,,,,,,0,0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,,,,0.0,0.0,1.0,"* Literature
* History
* Philosophy
* Art History
* Sociology
* Anthropology
* Political Science
* Economics
* Foreign Languages
* Music
* Theater"
999,S.H.GARDI ARTS & C.R.GARDI COMM.COLLEGE-DHROL,2015,,,Under Graduate,12,B.Com.-Bachelor of Commerce,9,Commerce,Commerce,General,1,4270595,88.0,41.0,5.0,3.0,0.0,0.0,52.0,26.0,145,70,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Interest in business principles and practices
* Passion for finance, accounting, and economics
* Desire to explore career opportunities in business management
* Ambition to become an entrepreneur
* Seeking a foundation for further education in business-related fields
* Aptitude for mathematics and data analysis
* Interest in marketing, sales, or customer relations
* Desire for a well-rounded education with transferable skills"
40386,Suleman College of Nursing,2015,,,Under Graduate,31,B.Sc.(Nursing)-Bachelor of Science in Nursing,72,Nursing,Regular,General,2,4272486,17.0,8.0,5.0,3.0,2.0,1.0,2.0,1.0,26,13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Interest in healthcare and patient care
* Compassion and empathy for others
* Strong desire to help people
* Excellent communication and interpersonal skills
* Ability to handle stress and work in a fast-paced environment
* Interest in medical conditions, diseases, and treatments
* Desire to learn about human anatomy, physiology, and pharmacology
* Passion for teaching and supporting others
* Aspiration to become a registered nurse (RN)
* Interest in specializing in a particular area of nursing, such as critical care, pediatrics, or mental health"
45282,"GOVERNMENT COMMERCE COLLEGE, JAMNAGAR",2015,,,Under Graduate,12,B.Com.-Bachelor of Commerce,9,Commerce,COMMERCE,General,2,4273296,57.0,19.0,11.0,2.0,1.0,0.0,52.0,7.0,121,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Business and finance
* Accounting and auditing
* Economics and statistics
* Taxation and law
* Investment and portfolio management
* Human resource management
* Marketing and sales
* Entrepreneurship
* Data analysis and business intelligence
* Technology and innovation"
22339,"Ma Mangala College, Raigarh",2015,,,Under Graduate,12,B.Com.-Bachelor of Commerce,9,Commerce,Commerce,Self Financing,1,4274027,12.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,18,10,,,,,,,,,,0,0,1.0,,,,,,,,,0.0,0.0,1.0,,,,,,,,,0.0,0.0,1.0,"* Interest in business and finance
* Aptitude for numbers and data analysis
* Desire to understand accounting principles
* Aspiration for a career in accounting, finance, marketing, or management
* Exploration of the business world
* Development of entrepreneurial skills for future business ventures
* Enhancement of communication and presentation abilities
* Preparation for higher studies, such as a Master's in Business Administration (MBA)
* Access to career opportunities in various sectors, including banking, insurance, and manufacturing
* Fulfillment of personal interests and passion for business-related subjects"
264,"MAHATMA GANDHI INST.OF TECHNICAL EDU. AND RESEARCH CENTER,NAVASARI 033",2015,,,Under Graduate,50,B.E.-Bachelor of Engineering,23,Mechanical Engineering,MECHANICAL ENGINEERING (FIRST SHIFT),Self Financing,1,4274843,64.0,0.0,4.0,0.0,13.0,0.0,90.0,0.0,171,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Problem-solving
* Mathematics and science
* Design and creativity
* Technology
* Innovation
* Infrastructure development
* Electrical systems
* Mechanical systems
* Computer systems
* Materials science
* Environmental sustainability
* Energy efficiency
* Robotics
* Nanotechnology"
42553,"VAISHNO DEVI PRASHIKSHAN MAHAVIDYALAYA, GODAHI, KUNDA, PRATAPGARH",2015,,,Under Graduate,30,B.Sc.-Bachelor of Science,171,Science,Science,Self Financing,1,4275935,122.0,47.0,19.0,9.0,0.0,0.0,136.0,49.0,277,105,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Mathematics
* Physics
* Chemistry
* Biology
* Environmental science
* Computer science
* Data science
* Artificial intelligence
* Machine learning
* Statistics
* Geology
* Oceanography
* Astronomy
* Meteorology
* Research
* Engineering
* Medicine
* Health sciences
* Environmental sustainability
* Social justice
* Education
* Law
* Business
* Finance
* Economics
* Psychology
* Sociology
* Anthropology
* History
* Political science
* Literature
* Philosophy
* Art
* Music
* Theatre
* Dance
* Film
* Photography
* Writing
* Travel
* Adventure
* Sports
* Cooking
* Gardening
* Hiking
* Camping
* Fishing
* Hunting
* Skiing
* Snowboarding
* Surfing
* Sailing
* Photography
* Painting
* Drawing
* Sculpture
* Pottery
* Music
* Singing
* Dancing
* Acting
* Writing
* Reading
* Travel
* History
* Culture
* Fashion
* Design
* Architecture
* Interior design
* Landscaping
* Event planning
* Hospitality
* Tourism"
