Course,Name,City,State,Rank,Type,Website,passion_interest
9. Bachelor of Science in Agri-Business Management (B.Sc. (Agri-Business Management)),University of Agricultural Sciences,Dharwad,Karnataka,28,State,https://uasd.edu.in/,"* **Agriculture**
* **Business**
* **Economics**
* **Food**
* **Sustainability**"
10. Bachelor of Science in Home Science (B.Sc. (Home Science)),University of Agricultural Sciences,Dharwad,Karnataka,28,State,https://uasd.edu.in/,"* Nutrition
* Food Technology
* Fashion
* Interior Design
* Child Development"
1. Bachelor of Science (Agriculture),Central Agricultural University,Imphal West,Manipur,29,Central,https://www.cau.ac.in/,"* Agronomy
* Botany
* Soil Science
* Horticulture
* Meteorology"
2. Bachelor of Science (Horticulture),Central Agricultural University,Imphal West,Manipur,29,Central,https://www.cau.ac.in/,"* Gardening
* Botany
* Nature
* Agriculture
* Sustainability"
3. Bachelor of Science (Soil Science and Agricultural Chemistry),Central Agricultural University,Imphal West,Manipur,29,Central,https://www.cau.ac.in/,"* Farming
* Research
* Agriculture
* Environment
* Technology"
4. Bachelor of Science (Agricultural Economics and Farm Management),Central Agricultural University,Imphal West,Manipur,29,Central,https://www.cau.ac.in/,"* Economics
* Agriculture
* Management
* Sustainability
* Business"
5. Bachelor of Science (Agricultural Engineering),Central Agricultural University,Imphal West,Manipur,29,Central,https://www.cau.ac.in/,"* Agriculture
* Technology
* Engineering
* Sustainability
* Innovation"
6. Bachelor of Science (Agricultural Biotechnology),Central Agricultural University,Imphal West,Manipur,29,Central,https://www.cau.ac.in/,"* Agriculture
* Biology
* Biotechnology
* Science
* Research"
7. Bachelor of Science (Food Science and Technology),Central Agricultural University,Imphal West,Manipur,29,Central,https://www.cau.ac.in/,"* Nutrition
* Food safety
* Product development
* Technology
* Sensory analysis"
8. Bachelor of Science (Community Science),Central Agricultural University,Imphal West,Manipur,29,Central,https://www.cau.ac.in/,"* Community development
* Social work
* Health promotion
* Education
* Research"
1. Bachelor of Science in Agriculture (B.Sc. Ag.),Chandra Shekhar Azad University ofAgriculture & Technology,Kanpur,Uttar Pradesh,30,State,https://csauk.ac.in/,"* Plants
* Animals
* Environment
* Food
* Science"
2. Bachelor of Technology in Agricultural Engineering (B.Tech. Agril. Engg.),Chandra Shekhar Azad University ofAgriculture & Technology,Kanpur,Uttar Pradesh,30,State,https://csauk.ac.in/,"* Agriculture
* Technology
* Innovation
* Sustainability
* Rural development"
3. Bachelor of Science in Horticulture (B.Sc. Hort.),Chandra Shekhar Azad University ofAgriculture & Technology,Kanpur,Uttar Pradesh,30,State,https://csauk.ac.in/,"* Plants
* Gardening
* Flowers
* Landscape
* Environment"
4. Bachelor of Science in Forestry (B.Sc. For.),Chandra Shekhar Azad University ofAgriculture & Technology,Kanpur,Uttar Pradesh,30,State,https://csauk.ac.in/,"* Conservation
* Environment
* Nature
* Trees
* Wildlife"
5. Bachelor of Science in Food Technology (B.Sc. Food Tech.),Chandra Shekhar Azad University ofAgriculture & Technology,Kanpur,Uttar Pradesh,30,State,https://csauk.ac.in/,"* Food
* Science
* Nutrition
* Chemistry
* Microbiology"
1. Bachelor of Veterinary Science and Animal Husbandry (BVSc & AH),Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,31,State,https://svvu.edu.in/,"* Animals
* Science
* Medicine
* Agriculture
* Helping"
2. Bachelor of Fisheries Science (BFSc),Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,31,State,https://svvu.edu.in/,"* Aquaculture
* Marine biology
* Fisheries management
* Environmental science
* Seafood safety"
3. Bachelor of Technology (B.Tech) in Food Technology,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,31,State,https://svvu.edu.in/,"* Food
* Nutrition
* Science
* Engineering
* Innovation"
4. Bachelor of Technology (B.Tech) in Dairy Technology,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,31,State,https://svvu.edu.in/,"* Food Engineering
* Dairy Processing
* Product Development
* Quality Control
* Research and Development"
5. Bachelor of Science (B.Sc) in Animal Science,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,31,State,https://svvu.edu.in/,"* Animal welfare
* Animal nutrition
* Animal breeding
* Animal physiology
* Animal health"
6. Bachelor of Science (B.Sc) in Fisheries Science,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,31,State,https://svvu.edu.in/,"* Aquaculture
* Oceanography
* Ichthyology
* Marine biology
* Conservation"
7. Bachelor of Science (B.Sc) in Dairy Science,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,31,State,https://svvu.edu.in/,"* Dairy
* Nutrition
* Food
* Science
* Business"
8. Bachelor of Science (B.Sc) in Poultry Science,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,31,State,https://svvu.edu.in/,"* Poultry
* Breeding
* Nutrition
* Management
* Health"
9. Bachelor of Science (B.Sc) in Aquaculture,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,31,State,https://svvu.edu.in/,"* Fish farming
* Aquaculture management
* Water resources
* Ecology
* Conservation"
10. Bachelor of Veterinary Science and Animal Husbandry (BVSc & AH) with specialization in Companion Animal Science,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,31,State,https://svvu.edu.in/,"* Animals
* Pets
* Health
* Science
* Helping others"
11. Bachelor of Science (B.Sc) in Wildlife Biology and Conservation,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,31,State,https://svvu.edu.in/,"* Wildlife
* Conservation
* Ecology
* Research
* Management"
1. Bachelor of Science (B.Sc.) in Agricultural Extension Management,National Institute of Agricultural Extension Management,Hyderabad,Telangana,32,Central,[Website Link](https://www.niam.gov.in/),"* Agriculture
* Extension
* Management
* Rural development
* Education"
1. Bachelor of Science (Agriculture),"Dr. Rajendra Prasad Central Agricultural University, Samastipur",Samastipur,Bihar,33,Central,https://www.rpcau.ac.in/,"* Farming
* Horticulture
* Environmentalism
* Research
* Policy"
2. Bachelor of Science (Horticulture),"Dr. Rajendra Prasad Central Agricultural University, Samastipur",Samastipur,Bihar,33,Central,https://www.rpcau.ac.in/,"* Botany
* Agriculture
* Landscaping
* Gardening
* Sustainable farming"
3. Bachelor of Fisheries Science,"Dr. Rajendra Prasad Central Agricultural University, Samastipur",Samastipur,Bihar,33,Central,https://www.rpcau.ac.in/,"* Aquaculture
* Ecology
* Conservation
* Fisheries Management
* Marine Biology"
4. Bachelor of Food Technology,"Dr. Rajendra Prasad Central Agricultural University, Samastipur",Samastipur,Bihar,33,Central,https://www.rpcau.ac.in/,"* Food Science
* Nutrition
* Chemistry
* Biology
* Microbiology"
5. Bachelor of Technology (Agricultural Engineering),"Dr. Rajendra Prasad Central Agricultural University, Samastipur",Samastipur,Bihar,33,Central,https://www.rpcau.ac.in/,"* Agriculture
* Technology
* Engineering
* Farming
* Sustainability"
6. Bachelor of Science (Forestry),"Dr. Rajendra Prasad Central Agricultural University, Samastipur",Samastipur,Bihar,33,Central,https://www.rpcau.ac.in/,"* Nature
* Environment
* Conservation
* Sustainability
* Research"
7. Bachelor of Science (Agricultural Biotechnology),"Dr. Rajendra Prasad Central Agricultural University, Samastipur",Samastipur,Bihar,33,Central,https://www.rpcau.ac.in/,"* Biotechnology
* Agriculture
* Research
* Genetics
* Plants"
1. Bachelor of Veterinary Science and Animal Husbandry (BVSc & AH),Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,34,State,www.llruvas.org,"* Animals
* Health
* Science
* Agriculture
* Compassion"
2. Bachelor of Dairy Technology (B.Tech Dairy Technology),Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,34,State,www.llruvas.org,"* Dairy
* Food Science
* Nutrition
* Milk Production
* Processing"
3. Bachelor of Fishery Sciences (BFSc),Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,34,State,www.llruvas.org,"* Aquaculture
* Marine biology
* Ecology
* Conservation
* Fisheries management"
4. Bachelor of Science (B.Sc) in Agriculture,Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,34,State,www.llruvas.org,"* Agronomy
* Horticulture
* Animal Science
* Soil Science
* Plant Pathology"
5. Bachelor of Science (B.Sc) in Animal Science,Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,34,State,www.llruvas.org,"* Animal behavior
* Animal nutrition
* Animal health
* Animal breeding
* Animal welfare"
6. Bachelor of Science (B.Sc) in Biochemistry and Nutrition,Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,34,State,www.llruvas.org,"**Biochemistry and Nutrition**
* Science
* Research
* Health
* Food
* Wellness"
7. Bachelor of Science (B.Sc) in Biotechnology,Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,34,State,www.llruvas.org,"* Genetics
* Microbiology
* Biochemistry
* Molecular biology
* Cell biology"
8. Bachelor of Science (B.Sc) in Food Technology,Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,34,State,www.llruvas.org,"* Nutrition
* Food science
* Chemistry
* Microbiology
* Biochemistry"
9. Bachelor of Science (B.Sc) in Home Science,Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,34,State,www.llruvas.org,"* Nutrition
* Culinary Arts
* Textile Science
* Interior Design
* Child Development"
10. Bachelor of Science (B.Sc) in Poultry Science,Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,34,State,www.llruvas.org,"* Poultry Production
* Poultry Health
* Nutrition
* Breeding
* Management"
1. Bachelor of Agriculture (B.Sc. Ag.),Acharya Narendra Deva University of Agriculture & Technology,Faizabad,Uttar Pradesh,35,State,https://www.anduatk.ac.in/,"* Agriculture
* Plants
* Animals
* Soil
* Environment"
2. Bachelor of Horticulture (B.Sc. Hort.),Acharya Narendra Deva University of Agriculture & Technology,Faizabad,Uttar Pradesh,35,State,https://www.anduatk.ac.in/,"* Botany
* Plants
* Gardening
* Sustainability
* Agriculture"
3. Bachelor of Forestry (B.Sc. F.),Acharya Narendra Deva University of Agriculture & Technology,Faizabad,Uttar Pradesh,35,State,https://www.anduatk.ac.in/,"* Ecology
* Conservation
* Silviculture
* Tree physiology
* Ecosystem management"
4. Bachelor of Technology (B.Tech.) in Agricultural Engineering,Acharya Narendra Deva University of Agriculture & Technology,Faizabad,Uttar Pradesh,35,State,https://www.anduatk.ac.in/,"* Agriculture
* Technology
* Sustainability
* Food Security
* Engineering"
5. Bachelor of Technology (B.Tech.) in Food Technology,Acharya Narendra Deva University of Agriculture & Technology,Faizabad,Uttar Pradesh,35,State,https://www.anduatk.ac.in/,"* Science
* Engineering
* Food
* Health
* Business"
6. Bachelor of Science (B.Sc.) in Agricultural Biotechnology,Acharya Narendra Deva University of Agriculture & Technology,Faizabad,Uttar Pradesh,35,State,https://www.anduatk.ac.in/,"* Agriculture
* Biotechnology
* Science
* Environment
* Technology"
7. Bachelor of Science (B.Sc.) in Food Science and Technology,Acharya Narendra Deva University of Agriculture & Technology,Faizabad,Uttar Pradesh,35,State,https://www.anduatk.ac.in/,"* Nutrition
* Gastronomy
* Food safety
* Food processing
* Flavors"
8. Bachelor of Science (B.Sc.) in Seed Science and Technology,Acharya Narendra Deva University of Agriculture & Technology,Faizabad,Uttar Pradesh,35,State,https://www.anduatk.ac.in/,"* Agriculture
* Botany
* Seed biology
* Plant science
* Agronomy"
9. Bachelor of Science (B.Sc.) in Dairy Science,Acharya Narendra Deva University of Agriculture & Technology,Faizabad,Uttar Pradesh,35,State,https://www.anduatk.ac.in/,"* *Dairy farming*
* *Food science*
* *Agriculture*
* *Animal science*
* *Nutrition*"
10. Bachelor of Fisheries Science (B.F.Sc.),Acharya Narendra Deva University of Agriculture & Technology,Faizabad,Uttar Pradesh,35,State,https://www.anduatk.ac.in/,"* Aquaculture
* Ichthyology
* Ecology
* Conservation
* Research"
1. Bachelor of Science (Agriculture),"Mahatma Phule Krishi Vidyapeeth, Rahuri",Rahuri,Maharashtra,36,State,https://www.mpkv.ac.in/,"* Farming
* Agribusiness
* Food Security
* Environmental Sustainability
* Plant Biotechnology"
2. Bachelor of Science (Horticulture),"Mahatma Phule Krishi Vidyapeeth, Rahuri",Rahuri,Maharashtra,36,State,https://www.mpkv.ac.in/,"* Plants
* Gardening
* Agriculture
* Landscaping
* Design"
3. Bachelor of Science (Agricultural Engineering),"Mahatma Phule Krishi Vidyapeeth, Rahuri",Rahuri,Maharashtra,36,State,https://www.mpkv.ac.in/,"* Agriculture
* Engineering
* Food
* Environment
* Technology"
4. Bachelor of Science (Food Technology),"Mahatma Phule Krishi Vidyapeeth, Rahuri",Rahuri,Maharashtra,36,State,https://www.mpkv.ac.in/,"* Nutrition
* Culinary arts
* Chemistry
* Biology
* Sustainability"
5. Bachelor of Science (Home Science),"Mahatma Phule Krishi Vidyapeeth, Rahuri",Rahuri,Maharashtra,36,State,https://www.mpkv.ac.in/,"* Nutrition
* Fashion
* Interior Design
* Child Development
* Hospitality"
6. Bachelor of Fisheries Science,"Mahatma Phule Krishi Vidyapeeth, Rahuri",Rahuri,Maharashtra,36,State,https://www.mpkv.ac.in/,"- *Marine biology*
- *Fishery management*
- *Ecology (Animal and Plankton)*
- *Marine Conservation*
- *Aquaculture*"
7. Bachelor of Agribusiness Management,"Mahatma Phule Krishi Vidyapeeth, Rahuri",Rahuri,Maharashtra,36,State,https://www.mpkv.ac.in/,"* Agriculture
* Business
* Management
* Food
* Sustainability"
8. Bachelor of Library and Information Science,"Mahatma Phule Krishi Vidyapeeth, Rahuri",Rahuri,Maharashtra,36,State,https://www.mpkv.ac.in/,"* Reading
* Organization
* Information
* Research
* Technology"
9. Bachelor of Computer Applications,"Mahatma Phule Krishi Vidyapeeth, Rahuri",Rahuri,Maharashtra,36,State,https://www.mpkv.ac.in/,"* Programming
* Software development
* Data analysis
* Web design
* Cloud computing"
10. Bachelor of Business Administration (Agribusiness),"Mahatma Phule Krishi Vidyapeeth, Rahuri",Rahuri,Maharashtra,36,State,https://www.mpkv.ac.in/,"* Agriculture
* Business
* Management
* Economics
* Marketing"
1. Bachelor of Veterinary Science and Animal Husbandry (BVSc & AH),"Karnataka Vetrinary, Animal & Fisheries Science University, Nandinagar",Bidar,Karnataka,37,State,https://kvasu.ac.in/,"**BVSc & AH:**

* *Animals*
* *Science*
* *Medicine*
* *Agriculture*
* *Research*"
2. Bachelor of Fisheries Science (B.F.Sc),"Karnataka Vetrinary, Animal & Fisheries Science University, Nandinagar",Bidar,Karnataka,37,State,https://kvasu.ac.in/,"* Aquaculture
* Ichthyology
* Conservation
* Fisheries management
* Research"
3. Bachelor of Science (Hons.) in Agriculture,"Karnataka Vetrinary, Animal & Fisheries Science University, Nandinagar",Bidar,Karnataka,37,State,https://kvasu.ac.in/,"* Agronomy
* Horticulture
* Animal Science
* Plant Science
* Agricultural Economics"
4. Bachelor of Science (Hons.) in Biotechnology,"Karnataka Vetrinary, Animal & Fisheries Science University, Nandinagar",Bidar,Karnataka,37,State,https://kvasu.ac.in/,"* Genetics
* Microbiology
* Medicine
* Pharmacy
* Research"
1. Bachelor of Science (Agriculture),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Agriculture
* Botany
* Zoology
* Soil Science
* Chemistry"
2. Bachelor of Science (Horticulture),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Plants
* Gardening
* Agriculture
* Sustainability
* Environment"
3. Bachelor of Science (Forestry),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Nature
* Conservation
* Environment
* Wildlife
* Sustainability"
4. Bachelor of Science (Agribusiness Management),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Agriculture
* Business
* Finance
* Marketing
* Management"
5. Bachelor of Science (Agricultural Engineering),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* **Agriculture**
* **Engineering**
* **Technology**
* **Design**
* **Problem-solving**"
6. Bachelor of Science (Food Technology),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Nutrition
* Chemistry
* Microbiology
* Culinary arts
* Engineering"
7. Bachelor of Science (Dairy Technology),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Dairy
* Milk
* Food
* Chemistry
* Nutrition"
8. Bachelor of Science (Community Science),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Education
* Healthcare
* Social services
* Community development
* Research"
9. Bachelor of Science (Home Science Education),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Nutrition
* Child Development
* Food Science
* Education
* Textiles"
10. Bachelor of Science (Extension Education),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Extension
* Agriculture
* Community
* Development
* Education"
11. Bachelor of Science (Agricultural Science),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Agriculture
* Farming
* Food
* Sustainability
* Environment"
3. B.A. Tamil,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,27,Private,https://www.mgrei.ac.in/,"* Literature
* History
* Language
* Philosophy
* Art"
4. B.A. English,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,27,Private,https://www.mgrei.ac.in/,"* History
* Philosophy
* Literature
* Sociology
* Psychology"
5. B.Sc. Mathematics,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,27,Private,https://www.mgrei.ac.in/,"* Science
* Research
* Discovery
* Knowledge
* Education
* Healthcare
* Technology
* Environment
* Sustainability
* Innovation"
7. B.Sc. Chemistry,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,27,Private,https://www.mgrei.ac.in/,"* Biology
* Chemistry
* Physics
* Environmental studies
* Food technology"
9. B.Sc. Botany,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,27,Private,https://www.mgrei.ac.in/,"* Biology
* Chemistry
* Physics
* Geology
* Environmental Science"
10. B.Com.,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,27,Private,https://www.mgrei.ac.in/,"* Finance
* Commerce
* Accounting
* Taxation
* Business"
11. BCA,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,27,Private,https://www.mgrei.ac.in/,"* Computers
* Technology
* Software
* Coding
* Business"
12. BBM,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,27,Private,https://www.mgrei.ac.in/,"* Management
* Business
* Marketing
* Finance
* Entrepreneurship"
13. BSW,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,27,Private,https://www.mgrei.ac.in/,"* Social justice
* Advocacy
* Community service
* Helping others
* Social work"
