Course,Name,City,State,Rank,Website,passion_interest
1. Bachelor of Technology (BTech) in Aerospace Engineering,Indian Institute of Technology Delhi,New Delhi,Delhi,3,https://www.iitd.ac.in/,"**Bachelor of Technology (BTech) in Aerospace Engineering**

* Interest in space exploration
* Fascination with aircraft and aviation
* Passion for solving complex engineering problems
* Desire to contribute to the advancement of aerospace technology
* Aspiration to design and develop cutting-edge aerospace systems"
2. Bachelor of Technology (BTech) in Chemical Engineering,Indian Institute of Technology Delhi,New Delhi,Delhi,3,https://www.iitd.ac.in/,"**Interests:**

* Interest in chemistry and its applications
* Passion for solving complex scientific problems
* Curiosity about the design and operation of chemical processes
* Fascination with the transformative impact of chemical engineering on various industries
* Desire to create sustainable and innovative solutions for emerging challenges"
3. Bachelor of Technology (BTech) in Civil Engineering,Indian Institute of Technology Delhi,New Delhi,Delhi,3,https://www.iitd.ac.in/,"**Interests and Passions for BTech in Civil Engineering**

* Interest in design and construction of structures
* Passion for solving complex engineering problems
* Appreciation for the impact of civil engineering on society
* Desire to create sustainable and resilient infrastructure
* Fascination with the properties and behavior of materials"
4. Bachelor of Technology (BTech) in Computer Science and Engineering,Indian Institute of Technology Delhi,New Delhi,Delhi,3,https://www.iitd.ac.in/,"* Interest in developing software and applications
* Passion for solving complex problems using technology
* Fascination with computer hardware and architecture
* Desire to design and implement innovative technological solutions
* Enthusiasm for exploring the latest advancements in computer science"
5. Bachelor of Technology (BTech) in Electrical Engineering,Indian Institute of Technology Delhi,New Delhi,Delhi,3,https://www.iitd.ac.in/,"**Interests and Passions for Bachelor of Technology (BTech) in Electrical Engineering:**

* High voltage engineering
* Microelectronics
* Digital signal processing
* Control systems
* Renewable energy"
6. Bachelor of Technology (BTech) in Electronics and Communication Engineering,Indian Institute of Technology Delhi,New Delhi,Delhi,3,https://www.iitd.ac.in/,"**Interests and Passions Leading to a BTech in Electronics and Communication Engineering**

* Interest in electronic devices and systems
* Passion for designing and analyzing communication systems
* Fascination with wireless technologies and networks
* Desire to understand the fundamentals of information theory
* Interest in the applications of electronics in various industries"
7. Bachelor of Technology (BTech) in Industrial and Production Engineering,Indian Institute of Technology Delhi,New Delhi,Delhi,3,https://www.iitd.ac.in/,"**Interests and Passions for Bachelor of Technology (BTech) in Industrial and Production Engineering:**

* Process improvement
* Efficiency optimization
* Supply chain management
* Quality control
* Data analysis
* Problem-solving
* Project management
* Operations research
* Ergonomics
* Robotics"
8. Bachelor of Technology (BTech) in Mechanical Engineering,Indian Institute of Technology Delhi,New Delhi,Delhi,3,https://www.iitd.ac.in/,"* Interest in designing and developing mechanical systems
* Passion for understanding the physical world
* Curiosity about how machines and devices work
* Ability to solve complex problems
* Aptitude for mathematics and physics"
9. Bachelor of Technology (BTech) in Metallurgical and Materials Engineering,Indian Institute of Technology Delhi,New Delhi,Delhi,3,https://www.iitd.ac.in/,"* Application of scientific and engineering principles to design and develop new materials
* Understanding the properties and behavior of metals and other materials
* Exploring the role of materials in energy, transportation, and other industries
* Investigating the effects of manufacturing processes on materials properties
* Designing and implementing experiments to evaluate materials performance"
10. Bachelor of Technology (BTech) in Mining Engineering,Indian Institute of Technology Delhi,New Delhi,Delhi,3,https://www.iitd.ac.in/,"* Interest in exploring and extracting valuable minerals from the earth
* Passion for solving complex engineering challenges related to underground operations
* Desire to work in a dynamic and fast-paced industry with global impact
* Fascination with the science and technology behind mining processes and equipment
* Ambition to contribute to sustainable and responsible resource management"
11. Bachelor of Arts (BA) in Humanities and Social Sciences,Indian Institute of Technology Delhi,New Delhi,Delhi,3,https://www.iitd.ac.in/,"**Humanities**

* Literature
* History
* Philosophy
* Languages
* Art

**Social Sciences**

* Sociology
* Anthropology
* Economics
* Psychology
* Political Science"
12. Bachelor of Science (BSc) in Mathematics and Computing,Indian Institute of Technology Delhi,New Delhi,Delhi,3,https://www.iitd.ac.in/,"**Bachelor of Science (BSc) in Mathematics:**

* * Interest in analytical thinking and problem-solving
* * Passion for abstract concepts and mathematical theories
* * Desire to apply mathematical principles to real-world problems
* * Strong numerical and analytical skills
* * Curiosity about the foundations of mathematics

**Bachelor of Science (BSc) in Computing:**

* * Interest in technology and its applications
* * Passion for understanding computer systems and software
* * Desire to develop and analyze computational models
* * Strong logical and problem-solving abilities
* * Fascination with the intersection of technology and other fields"
13. Bachelor of Science (BSc) in Physics,Indian Institute of Technology Delhi,New Delhi,Delhi,3,https://www.iitd.ac.in/,"* Physics principles and concepts
* Mathematical modeling and problem solving
* Experimental design and data analysis
* Curiosity about the physical world
* Interest in technology and its applications"
14. Bachelor of Science (BSc) in Chemistry,Indian Institute of Technology Delhi,New Delhi,Delhi,3,https://www.iitd.ac.in/,"**Interests and Passions Leading to Bachelor of Science (BSc) in Chemistry**

* Analytical thinking
* Problem-solving abilities
* Curiosity about the natural world
* Fascination with the structure and properties of matter
* Desire to understand the chemical processes that shape our world"
1. Aerospace Engineering,Indian Institute of Technology Bombay,,Maharashtra,4,https://www.iitb.ac.in/,"**Aerospace Engineering**

* Passion for aviation and space exploration
* Interest in aircraft and spacecraft design
* Fascination with aerodynamics and propulsion
* Desire to understand the mechanics of flight
* Curiosity about the properties and behavior of materials in aerospace environments"
2. Chemical Engineering,Indian Institute of Technology Bombay,,Maharashtra,4,https://www.iitb.ac.in/,"**Chemical Engineering:**
* *Design and optimization of chemical processes*
* *Development of new materials and technologies*
* *Understanding the properties and behavior of chemicals*
* *Environmental sustainability and pollution control*
* *Energy efficiency and renewable energy sources*"
3. Civil Engineering,Indian Institute of Technology Bombay,,Maharashtra,4,https://www.iitb.ac.in/,"**Mechanical Engineering**
* *Designing and building machines and engines*
* *Solving complex mechanical problems*
* *Working with precision tools and equipment*
* *Understanding the principles of physics and mathematics*
* *Working in a team environment*

**Civil Engineering**
* *Designing and building bridges, roads, and buildings*
* *Improving infrastructure and public works*
* *Protecting the environment*
* *Managing construction projects*
* *Using sustainable building materials*

**Electrical Engineering**
* *Designing and building electrical systems*
* *Working with electricity and electronics*
* *Understanding the principles of circuits and magnetism*
* *Troubleshooting electrical problems*
* *Working on power plants and other electrical facilities*

**Computer Engineering**
* *Designing and building computer systems*
* *Working with hardware and software*
* *Understanding the principles of computer science*
* *Programming and developing software*
* *Working on computer networks and systems*

**Chemical Engineering**
* *Designing and operating chemical plants*
* *Working with chemicals and materials*
* *Understanding the principles of chemistry and physics*
* *Developing new products and processes*
* *Working in the pharmaceutical, food, or energy industries*"
4. Computer Science and Engineering,Indian Institute of Technology Bombay,,Maharashtra,4,https://www.iitb.ac.in/,"**Computer Science**

* Problem-solving
* Innovation
* Technology
* Programming
* Data analysis

**Engineering**

* Problem-solving
* Designing
* Building
* Technology
* Innovation"
5. Electrical Engineering,Indian Institute of Technology Bombay,,Maharashtra,4,https://www.iitb.ac.in/,"**Electrical Engineering Interests and Passions**

* Understanding how electricity works
* Designing and building electrical systems
* Solving complex electrical problems
* Advancing technology through electrical innovations
* Collaborating with others to create electrical solutions"
6. Mechanical Engineering,Indian Institute of Technology Bombay,,Maharashtra,4,https://www.iitb.ac.in/,"* Interest in designing and building machines
* Passion for understanding how things work
* Desire to solve complex technical problems
* Drive to use math and science to create practical solutions
* Curiosity about the physical world"
1. Bachelor of Technology (B.Tech) in Aerospace Engineering,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,5,https://www.iitk.ac.in/,"* Interest in space exploration and discovery
* Fascination with aircraft design and performance
* Desire to push the boundaries of aviation technology
* Passion for problem-solving and innovation
* Interest in the mechanics of flight and fluid dynamics"
2. Bachelor of Technology (B.Tech) in Chemical Engineering,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,5,https://www.iitk.ac.in/,"**Interests and Passions for B.Tech in Chemical Engineering:**

* Interest in mathematics, physics, and chemistry
* Passion for problem-solving and analytical thinking
* Desire to understand and improve industrial processes
* Curiosity about sustainability and environmental issues
* Aspiration to work in the chemical, pharmaceutical, or energy industries"
3. Bachelor of Technology (B.Tech) in Civil Engineering,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,5,https://www.iitk.ac.in/,"* Analyzing and designing structures and infrastructure
* Understanding the behavior of building materials and systems
* Solving complex engineering problems
* Applying scientific principles to real-world challenges
* Collaborating with professionals in the construction industry"
4. Bachelor of Technology (B.Tech) in Computer Science and Engineering,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,5,https://www.iitk.ac.in/,"**Bachelor of Technology (B.Tech) in Computer Science and Engineering**

* Passion for solving complex coding problems
* Interest in developing and implementing software solutions
* Fascination with the intricacies of computer hardware and software
* Desire to drive innovation in the field of technology
* Curiosity about the potential of artificial intelligence, machine learning, and data analytics"
5. Bachelor of Technology (B.Tech) in Electrical Engineering,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,5,https://www.iitk.ac.in/,"**Interests and Passions for B.Tech in Electrical Engineering:**

* Electronics and circuits
* Electric power systems
* Control systems
* Renewable energy
* Robotics and automation"
6. Bachelor of Technology (B.Tech) in Electronics and Communication Engineering,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,5,https://www.iitk.ac.in/,"* Interest in electronics and their applications
* Passion for understanding and designing communication systems
* Enthusiasm for problem-solving and innovation
* Desire to create and develop technological solutions
* Fascination with the principles of signal processing and information theory"
7. Bachelor of Technology (B.Tech) in Industrial and Management Engineering,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,5,https://www.iitk.ac.in/,"**Interests and Passions for B.Tech in Industrial and Management Engineering:**

* Process optimization
* Data analysis
* Systems engineering
* Project management
* Lean manufacturing
* Supply chain management
* Operations research
* Simulation modeling
* Ergonomics
* Automation"
8. Bachelor of Technology (B.Tech) in Materials Science and Engineering,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,5,https://www.iitk.ac.in/,"**Interests and Passions for Materials Science and Engineering**

* Interest in understanding the properties of materials
* Passion for designing and testing new materials
* Curiosity about how materials interact with each other
* Desire to solve real-world problems using materials science
* Fascination with emerging technologies and their applications in materials"
9. Bachelor of Technology (B.Tech) in Mechanical Engineering,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,5,https://www.iitk.ac.in/,"* Advanced manufacturing techniques
* Automotive engineering
* Computer-aided design (CAD)
* Robotics
* Mechatronics"
10. Bachelor of Technology (B.Tech) in Textile Engineering,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,5,https://www.iitk.ac.in/,"**Interests:**

* *Fashion and textiles*
* *Materials science*
* *Design and aesthetics*
* *Sustainability and environmental concerns*
* *Innovation and technology*

**Passions:**

* *Creating unique and stylish fabrics and garments*
* *Developing and optimizing textile manufacturing processes*
* *Exploring the latest advancements in textile technology*
* *Promoting sustainable and environmentally friendly textile practices*
* *Designing and manufacturing textiles that meet specific functional and performance requirements*"
1. Bachelor of Medicine and Bachelor of Surgery (MBBS),"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,6,https://www.aiims.edu,"* Interest in human biology and physiology
* Desire to help others and improve the health of communities
* Passion for solving complex medical problems
* Fascination with the scientific advancements in medicine
* Aspiration to make a difference in the lives of patients"
2. Bachelor of Science (Hons) in Nursing,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,6,https://www.aiims.edu,"**Bachelor of Science (Hons) Nursing:**

* *Passion for helping others*
* *Desire to make a difference in people's lives*
* *Empathy and compassion*
* *Strong work ethic and dedication*
* *Interest in healthcare and medicine*"
3. Bachelor of Science (Hons) in Paramedical Technology,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,6,https://www.aiims.edu,"**Bachelor of Science (Hons) in Paramedical Technology**

* Passion for healthcare and patient care
* Interest in medical laboratory science
* Curiosity about pathology and disease processes
* Fascination with cutting-edge medical technology
* Desire to contribute to the diagnosis and treatment of patients"
4. Bachelor of Occupational Therapy (BOT),"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,6,https://www.aiims.edu,"**Bachelor of Occupational Therapy (BOT)**

* Interest in helping people improve their physical and cognitive function
* Passion for working with individuals with disabilities or injuries
* Desire to make a difference in the lives of others
* Ability to empathize and connect with people from diverse backgrounds
* Strong interpersonal and communication skills"
5. Bachelor of Physiotherapy (BPT),"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,6,https://www.aiims.edu,"**Interests and Passions for Bachelor of Physiotherapy (BPT)**

* Passion for helping and improving the lives of others
* Interest in the human body and its functions
* Desire to work in a healthcare profession
* Passion for promoting wellness and fitness
* Interest in rehabilitation and injury prevention"
6. Bachelor of Audiology and Speech Language Pathology (BASLP),"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,6,https://www.aiims.edu,"**Interests and Passions for BASLP:**

* Helping individuals improve their communication skills
* Understanding the complexities of human language
* Using technology to enhance speech and hearing
* Working with people from diverse backgrounds
* Making a difference in the lives of others"
1. Aerospace Engineering,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Aerospace Engineering**

* Designing and building aircraft, spacecraft, and other aerospace systems
* Analyzing and solving complex engineering problems
* Conducting research to develop new technologies
* Working in a team environment
* Applying creativity and innovation to solve real-world problems"
2. Agricultural and Food Engineering,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Agricultural Engineering:**

* *Interest in agricultural machinery and equipment*
* *Passion for sustainable farming practices*
* *Drive to improve agricultural productivity*
* *Desire to design and develop agricultural systems*
* *Enthusiasm for working in rural environments*

**Food Engineering:**

* *Interest in food safety and quality*
* *Passion for food processing and preservation*
* *Drive to innovate in the food industry*
* *Desire to design and develop food products*
* *Enthusiasm for working in a fast-paced environment*"
3. Architecture and Regional Planning,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Architecture**

* *Building design and construction*
* *Interior and exterior space planning*
* *History and preservation of architectural styles*
* *Sustainability and environmental considerations in design*
* *Technical drawing and computer-aided design (CAD)**

**Regional Planning**

* *Land use and environmental planning*
* *Community development and revitalization*
* *Transportation and infrastructure planning*
* *Urban design and planning*
* *Geographic information systems (GIS)**"
4. Biotechnology,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Biotechnology**

* Interest in manipulating genes and cells
* Passion for developing new drugs and therapies
* Desire to understand the molecular basis of disease
* Aspiration to create new biomaterials and products
* Fascination with the potential of genetic engineering to solve global challenges"
5. Chemical Engineering,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Chemical Engineering**

* Problem-solving using mathematical and scientific principles
* Designing and optimizing chemical processes
* Developing new materials and products
* Understanding and controlling chemical reactions
* Improving environmental sustainability"
6. Chemistry,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Chemistry**

* * Curiosity about the composition and properties of matter
* * Desire to understand chemical reactions and their applications
* * Interest in the role of chemistry in medicine, engineering, and other fields
* * Passion for problem-solving, experimentation, and critical thinking
* * Appreciation for the beauty and elegance of chemical models and theories"
7. Civil Engineering,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Civil Engineering**

* Infrastructure planning and design
* Environmental sustainability
* Structural analysis and design
* Transportation engineering
* Water resources management"
8. Computer Science and Engineering,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Computer Science:**

* * Creating and developing software applications
* * Building websites and mobile apps
* * Data analysis and machine learning
* * Artificial intelligence and robotics
* * Cybersecurity

**Engineering:**

* * Designing and building hardware systems
* * Analyzing and solving technical problems
* * Project management and teamwork
* * Robotics and automation
* * Aerospace and automotive engineering"
9. Earth Sciences,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Geology**
* Fossils and paleontology
* Minerals and rocks
* Earthquakes and volcanoes
* Geological mapping and exploration
* Natural resources

**Oceanography**
* Marine ecosystems and biodiversity
* Ocean currents and circulation
* Seafloor exploration and mapping
* Climate change and ocean acidification
* Marine conservation"
10. Electrical Engineering,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"* **Electrical Engineering:**
    * Designing electrical circuits and systems
    * Troubleshooting and repairing electrical equipment
    * Developing new electrical technologies
    * Working with renewable energy sources
    * Automating industrial processes"
11. Electronics and Electrical Communication Engineering,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Electronics Engineering**
* *Interest in designing and developing electronic circuits and systems*
* *Passion for understanding the behavior of electronic devices*
* *Ability to analyze and troubleshoot complex electronic systems*
* *Interest in applying electronics to solve real-world problems*
* *Curiosity about the latest advancements in electronics technology*

**Electrical Communication Engineering**
* *Interest in understanding the principles of communication systems*
* *Passion for designing and developing communication networks*
* *Ability to analyze and optimize communication protocols*
* *Interest in exploring the applications of communication technology*
* *Desire to contribute to the advancement of communication systems*"
12. Humanities and Social Sciences,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Humanities**
* Literature
* Philosophy
* History
* Art
* Languages

**Social Sciences**
* Sociology
* Psychology
* Economics
* Political Science
* Anthropology"
13. Industrial and Systems Engineering,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Industrial Engineering**

* Optimization and efficiency improvement
* Data analysis and modeling
* Process design and improvement
* Human factors and ergonomics
* Operations research

**Systems Engineering**

* Large-scale system design and integration
* Complex problem solving
* Requirements analysis and management
* Simulation and modeling
* Risk assessment and management"
14. Materials Science and Engineering,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Materials Science and Engineering**
* Understanding the structure and properties of materials
* Developing and improving materials for use in various applications
* Designing and fabricating new materials with improved properties
* Analyzing and testing materials to ensure their performance and safety
* Characterizing and evaluating the properties of materials"
15. Mathematics and Computing,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Mathematics:**

* * Interest in abstract reasoning and problem-solving
* * Aptitude for working with numbers and symbols
* * Curiosity about the underlying principles of the world
* * Desire to develop critical thinking and analytical skills
* * Ambition to pursue a career in mathematics, engineering, or other STEM fields

**Computing:**

* * Fascination with computers and technology
* * Interest in programming and software development
* * Desire to create and solve complex problems using computation
* * Curiosity about how computers work and how they can be used
* * Ambition to pursue a career in computer science, software engineering, or related fields"
16. Mechanical Engineering,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Mechanical Engineering**
* Interest in machines and their functioning
* Curiosity about how things move
* Enjoyment of hands-on projects
* Passion for design and innovation
* Eagerness to solve practical problems"
17. Metallurgical and Materials Engineering,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Metallurgical Engineering**

* *Interest in understanding the properties of metals and alloys*
* *Passion for developing new materials with enhanced properties*
* *Desire to improve the performance of existing materials*
* *Fascination with the science of metalworking and metal fabrication*
* *Aspiration to work in the manufacturing or materials research industry*

**Materials Engineering**

* *Passion for creating and studying the properties of advanced materials*
* *Interest in understanding the relationships between materials structure and properties*
* *Desire to develop sustainable and environmentally friendly materials*
* *Fascination with the use of materials in electronic devices, biomedical applications, and energy systems*
* *Aspiration to work in research and development or materials manufacturing*"
18. Mining Engineering,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Mining Engineering**

* Developing innovative mining technologies
* Designing and managing mine operations
* Exploring and assessing mineral resources
* Promoting sustainable mining practices
* Applying engineering principles to solve mining-related challenges"
19. Naval Architecture and Marine Engineering,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Naval Architecture**

* * Passion for shipbuilding and maritime design
* * Interest in hydrodynamics and fluid mechanics
* * Understanding of structural engineering principles
* * Appreciation of naval history and maritime culture
* * Desire to design and build ships that meet specific performance requirements

**Marine Engineering**

* * Fascination with marine propulsion systems
* * Interest in thermodynamics and heat transfer
* * Knowledge of mechanical engineering principles
* * Desire to understand and maintain marine power plants
* * Aspiration to work in the maritime industry or offshore sector"
20. Ocean Engineering and Naval Architecture,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,https://www.iitkgp.ac.in/,"**Ocean Engineering:**

* *Interest in marine environments*
* *Passion for underwater exploration*
* *Environmental concerns*
* *Desire to develop sustainable marine technologies*
* *Fascination with ocean dynamics*

**Naval Architecture:**

* *Interest in ship design and construction*
* *Passion for maritime transportation*
* *Desire to understand ship mechanics*
* *Curiosity about naval history*
* *Interest in military engineering*"
